UGO ;CSB ;SC ;V
0.858;0.228;0.146;-0.124
0.834;0.205;0.117;-0.088
0.834;0.245;0.159;-0.088
0.831;0.155;0.078;-0.089
0.805;0.19;0.031;-0.073
0.8;0.18;0.162;-0.025
0.799;0.219;0.028;-0.098
0.794;0.164;0.297;-0.105
0.628;0.439;-0.009;-0.099
0.336;0.758;0.041;-0.099
0.256;0.739;0.316;-0.105
0.127;0.736;0.079;-0.214
0.188;0.726;0.434;-0.084
0.355;0.711;-0.054;-0.041
0.271;0.668;0.4;-0.156
0.29;0.648;0.482;-0.15
0.26;0.599;0.447;-0.163
0.096;0.139;0.808;-0.054
0.164;0.242;0.797;-0.14
0.127;0.238;0.658;-0.045
0.027;-0.004;0.585;0.121
-0.139;-0.161;-0.036;0.73
-0.185;0.084;-0.084;0.706
0.075;-0.199;0.011;0.701
-0.223;-0.431;0.029;0.655
